Round Number,Date,Location,Home Team,Away Team,Winner,Result
7,29/09/2018 17:30,Stamford Bridge,Chelsea,Liverpool,D,1 - 1
7,30/09/2018 16:00,Cardiff City Stadium,Cardiff,Burnley,A,1 - 2
7,01/10/2018 20:00,Vitality Stadium,Bournemouth,Crystal Palace,H,2 - 1
8,05/10/2018 20:00,Amex Stadium,Brighton,West Ham,H,1 - 0
8,06/10/2018 15:00,Turf Moor,Burnley,Huddersfield,D,1 - 1
8,06/10/2018 15:00,Selhurst Park,Crystal Palace,Wolves,A,0 - 1
8,06/10/2018 15:00,King Power Stadium,Leicester,Everton,A,1 - 2
8,06/10/2018 15:00,Wembley Stadium,Spurs,Cardiff,H,1 - 0
8,06/10/2018 15:00,Vicarage Road,Watford,Bournemouth,A,0 - 4
8,06/10/2018 17:30,Old Trafford,Man Utd,Newcastle,H,3 - 2
8,07/10/2018 12:00,Craven Cottage,Fulham,Arsenal,A,1 - 5
8,07/10/2018 14:15,St. Mary's Stadium,Southampton,Chelsea,A,0 - 3
8,07/10/2018 16:30,Anfield,Liverpool,Man City,D,0 - 0
9,20/10/2018 12:30,Stamford Bridge,Chelsea,Man Utd,D,2 - 2
9,20/10/2018 15:00,Vitality Stadium,Bournemouth,Southampton,D,0 - 0
9,20/10/2018 15:00,Cardiff City Stadium,Cardiff,Fulham,H,4 - 2
